Subject_code,Top,foreperiod,predictability,difficulty,nanmean_TP,perfGrp
1,0,0.65,1,4,0.875,2
1,0,0.65,1,8,0.833333333333333,2
1,0,0.65,3,4,1,2
1,0,0.65,3,8,0.75,2
1,0,1.4,1,4,0.875,2
1,0,1.4,1,8,0.958333333333333,2
1,0,1.4,3,4,0.916666666666667,2
1,0,1.4,3,8,0.916666666666667,2
1,1,0.65,1,4,1,2
1,1,0.65,1,8,0.833333333333333,2
1,1,0.65,3,4,1,2
1,1,0.65,3,8,0.833333333333333,2
1,1,1.4,1,4,1,2
1,1,1.4,1,8,0.833333333333333,2
1,1,1.4,3,4,1,2
1,1,1.4,3,8,0.916666666666667,2
6,0,0.65,1,4,0.791666666666667,2
6,0,0.65,1,8,0.291666666666667,2
6,0,0.65,3,4,0.833333333333333,2
6,0,0.65,3,8,0.0833333333333333,2
6,0,1.4,1,4,0.833333333333333,2
6,0,1.4,1,8,0.166666666666667,2
6,0,1.4,3,4,0.916666666666667,2
6,0,1.4,3,8,0.416666666666667,2
6,1,0.65,1,4,1,2
6,1,0.65,1,8,0.625,2
6,1,0.65,3,4,1,2
6,1,0.65,3,8,0.416666666666667,2
6,1,1.4,1,4,0.958333333333333,2
6,1,1.4,1,8,0.833333333333333,2
6,1,1.4,3,4,1,2
6,1,1.4,3,8,0.75,2
7,0,0.65,1,4,0.916666666666667,2
7,0,0.65,1,8,0.583333333333333,2
7,0,0.65,3,4,1,2
7,0,0.65,3,8,0.666666666666667,2
7,0,1.4,1,4,0.958333333333333,2
7,0,1.4,1,8,0.75,2
7,0,1.4,3,4,1,2
7,0,1.4,3,8,0.5,2
7,1,0.65,1,4,1,2
7,1,0.65,1,8,0.916666666666667,2
7,1,0.65,3,4,1,2
7,1,0.65,3,8,0.75,2
7,1,1.4,1,4,1,2
7,1,1.4,1,8,0.875,2
7,1,1.4,3,4,1,2
7,1,1.4,3,8,0.916666666666667,2
8,0,0.65,1,4,1,2
8,0,0.65,1,8,0.416666666666667,2
8,0,0.65,3,4,1,2
8,0,0.65,3,8,0.5,2
8,0,1.4,1,4,1,2
8,0,1.4,1,8,0.541666666666667,2
8,0,1.4,3,4,1,2
8,0,1.4,3,8,0.75,2
8,1,0.65,1,4,1,2
8,1,0.65,1,8,0.541666666666667,2
8,1,0.65,3,4,1,2
8,1,0.65,3,8,0.666666666666667,2
8,1,1.4,1,4,1,2
8,1,1.4,1,8,0.833333333333333,2
8,1,1.4,3,4,1,2
8,1,1.4,3,8,0.666666666666667,2
9,0,0.65,1,4,0.916666666666667,2
9,0,0.65,1,8,0.666666666666667,2
9,0,0.65,3,4,0.916666666666667,2
9,0,0.65,3,8,0.416666666666667,2
9,0,1.4,1,4,0.791666666666667,2
9,0,1.4,1,8,0.583333333333333,2
9,0,1.4,3,4,0.666666666666667,2
9,0,1.4,3,8,0.5,2
9,1,0.65,1,4,1,2
9,1,0.65,1,8,0.75,2
9,1,0.65,3,4,1,2
9,1,0.65,3,8,0.75,2
9,1,1.4,1,4,0.958333333333333,2
9,1,1.4,1,8,0.833333333333333,2
9,1,1.4,3,4,1,2
9,1,1.4,3,8,0.833333333333333,2
11,0,0.65,1,4,0.958333333333333,2
11,0,0.65,1,8,0.5,2
11,0,0.65,3,4,1,2
11,0,0.65,3,8,0.416666666666667,2
11,0,1.4,1,4,0.916666666666667,2
11,0,1.4,1,8,0.375,2
11,0,1.4,3,4,1,2
11,0,1.4,3,8,0.416666666666667,2
11,1,0.65,1,4,0.916666666666667,2
11,1,0.65,1,8,0.708333333333333,2
11,1,0.65,3,4,1,2
11,1,0.65,3,8,0.75,2
11,1,1.4,1,4,0.958333333333333,2
11,1,1.4,1,8,0.666666666666667,2
11,1,1.4,3,4,0.916666666666667,2
11,1,1.4,3,8,0.583333333333333,2
